location,title,rooms,m2,build_material,year,page,kinder_garden,metro_station,price_eur
Malinova Dolina,"Ednostaen za prodajba, Malinova Dolina
Malinova Dolina, Sofia",0,44,Tuhla,2021.0,160,0,0,134000
Ivan Vazov,"Prodava 4-staen, kv. Ivan Vazov
Ivan Vazov, Sofia",4,156,Tuhla,2002.0,160,0,0,462000
Mladost 2,"Mnogostaen apartament 103 kv.m Tuhla 1978 g. 1 etaj Parter
Mladost 2, Sofia",4,103,Tuhla,1978.0,160,0,0,231000
B_kston,"Mezonet 214 kv.m Tuhla 2021 g. 5 etaj Neposleden
B_kston, Sofia",10,214,Tuhla,2021.0,160,0,0,280000
B_kston,"Mezonet 180 kv.m Tuhla 2021 g. 5 etaj
B_kston, Sofia",10,180,Tuhla,2021.0,160,0,0,270000
Krasna Polana,"Prodava 2-staen, kv. Krasna polana 2
Krasna Polana, Sofia",2,47,Panel,1985.0,160,1,0,79850
Drujba 1,"Tristaen, ujen, panoramen, pred AKT15! bul. Iztocna tangenta do bul. Bruksel!
Drujba 1, Sofia",3,118,Tuhla,2023.0,160,1,0,147500
D_rveniza,"Ednostaen apartament 44 kv.m Tuhla 2023 g. 1 etaj P_rvi jilisen
D_rveniza, Sofia",0,44,Tuhla,2023.0,160,1,0,66785
D_rveniza,"Dvustaen apartament 65 kv.m Tuhla 2023 g. 1 etaj P_rvi jilisen
D_rveniza, Sofia",2,65,Tuhla,2023.0,160,1,0,94244
D_rveniza,"Tristaen apartament 108 kv.m Tuhla 2023 g. 2 etaj Neposleden
D_rveniza, Sofia",3,108,Tuhla,2023.0,160,1,0,182640
Gorublane,"Tristaen apartament  Tuhla 2022 g. 3 etaj Neposleden
Gorublane, Sofia",3,113,Tuhla,2022.0,160,1,0,210000
Drujba 1,"Tristaen apartament 90 kv.m Panel 1970 g. 5 etaj Neposleden
Drujba 1, Sofia",3,90,Panel,1970.0,160,1,0,100000
Gorublane,"Tristaen apartament 217 kv.m Tuhla 2023 g. 3 etaj Neposleden
Gorublane, Sofia",3,217,Tuhla,2023.0,160,1,0,230000
Gorublane,"Mnogostaen apartament 130 kv.m Tuhla 2023 g. 4 etaj Neposleden
Gorublane, Sofia",4,130,Tuhla,2023.0,160,1,0,185000
Vitosa,"Mnogostaen apartament v kv. Vitosa
Vitosa, Sofia",4,254,Tuhla,2024.0,160,1,0,373783
Malinova Dolina,"Bez komisiona! Dvustaen apartament Malinova dolina s AKT 14
Malinova Dolina, Sofia",2,61,Tuhla,2023.0,160,1,0,104000
B_kston,"Prodavam 3-staen apartament v kv. B_kston
 B_kston, Sofia",3,92,EPK/PK,1989.0,160,1,0,197500
Dianabad,"Prodava tristaen apartament do magazin Billa
Dianabad, Sofia",3,83,Panel,1970.0,160,1,0,159000
Zona B5,"Dvustaen apartament 48 kv.m Panel 1980 g. 6 etaj Neposleden
Zona B5, Sofia",2,48,Panel,1980.0,160,1,0,128900
Sveta Troiza,"Mnogostaen apartament 112 kv.m EPK/PK 1987 g. 8 etaj Posleden etaj
Sveta Troiza, Sofia",4,112,EPK/PK,1987.0,160,1,0,190000
Drujba 2,"Mnogostaen apartament, Drujba 2
Drujba 2, Sofia",4,116,Tuhla,2024.0,160,1,1,169000
Simeonovo,"Dvustaen apartament 70 kv.m Tuhla 2017 g. 1 etaj Parter
Simeonovo, Sofia",2,70,Tuhla,2017.0,161,0,0,180000
Zent_r,"Mnogostaen apartament 155 kv.m Tuhla 1936 g. 4 etaj Neposleden
Zent_r, Sofia",4,155,Tuhla,1936.0,161,0,0,542000
Fondovi Jilisa,"Prodava dvustaen apartament v gr. Sofia, kv. Fondovi jilisa, 115 000 EUR
 Fondovi Jilisa, Sofia",2,65,Panel,1987.0,161,0,0,115000
Manastirski Livadi,"Prodava tristaen nova tuhla s A16, gr. Sofia, kv. Manastirski livadi, 250 875EUR
 Manastirski Livadi, Sofia",3,111,Tuhla,2022.0,161,0,0,250875
Borovo,"Prodava dvustaen v Sofia, j.k. ”Borovo”, nova tuhla
 Borovo, Sofia",2,60,Tuhla,2025.0,161,0,0,109375
Borovo,"Prodava tristaen v Sofia, kv. Borovo nova tuhla
Borovo, Sofia",3,78,Tuhla,2025.0,161,0,0,140688
Lozenez,"Prodava cetiristaen, v gr. Sofia, j.k. Lozenez
Lozenez, Sofia",4,150,Tuhla,1995.0,161,0,0,410000
Borovo,"prodava mezonet tristaen nova tuhla v j.k. Borovo
 Borovo, Sofia",10,123,Tuhla,2025.0,161,0,0,185163
Zent_r,"Tristaen apartament do Ruski pametnik
Zent_r, Sofia",3,75,Tuhla,1962.0,161,0,0,174900
Boana,"Dvustaen apartament 71 kv.m Tuhla 2022 g. 1 etaj P_rvi jilisen
Boana, Sofia",2,71,Tuhla,2022.0,161,0,0,138000
D_rveniza,"Prodajba 2-staen gr. Sofia - D_rveniza 65m²
D_rveniza, Sofia",2,65,Tuhla,2022.0,161,0,0,147000
Vitosa,"Mezonet za prodajba v j.k Vitosa
Vitosa, Sofia",10,151,Tuhla,1995.0,161,0,0,295000
Drujba 2,"Tristaen apartament za prodajba v novostroasa se sgrada v kv. 7-mi 11-ti kilomet_r.
Drujba 2, Sofia",3,107,Tuhla,2025.0,161,0,0,167622
Mladost 4,"Tristaen za prodajba, Mladost 4
Mladost 4, Sofia",3,107,Tuhla,2014.0,161,0,0,230000
Vitosa,"Dvustaen apartament 59 kv.m Tuhla 2022 g. 3 etaj Neposleden
Vitosa, Sofia",2,59,Tuhla,2022.0,161,0,0,55000
Obela 1,"Dvustaen apartament 67 kv.m Tuhla 2021 g. 2 etaj Neposleden
Obela 1, Sofia",2,67,Tuhla,2021.0,161,0,0,109900
Nadejda 4,"Dvustaen apartament 60 kv.m EPK/PK 1990 g. 10 etaj Neposleden
Nadejda 4, Sofia",2,60,EPK/PK,1990.0,161,0,0,107000
Lulin 5,"Ednostaen apartament 35 kv.m Panel 1985 g. 4 etaj Neposleden
Lulin 5, Sofia",0,35,Panel,1985.0,161,0,0,55000
Sofia,"Tristaen apartament 87 kv.m Tuhla 2021 g. 3 etaj Neposleden
Sofia",3,87,Tuhla,2021.0,161,0,0,197800
Lulin 9,"Mnogostaen apartament 250 kv.m Tuhla 2021 g. 5 etaj Neposleden
Lulin 9, Sofia",4,250,Tuhla,2021.0,161,0,0,280000
Vitosa,"Dvustaen apartament 55 kv.m Tuhla 2022 g. 1 etaj Parter
Vitosa, Sofia",2,55,Tuhla,2022.0,161,0,0,76000
Drujba 1,"Dvustaen apartament 65 kv.m Panel 1970 g. 5 etaj Neposleden
Drujba 1, Sofia",2,65,Panel,1970.0,161,0,0,61999
Zent_r,"Renoviran i nap_lno obzaveden apartament za prodajba na metri ot bul. Vitosa
 Zent_r, Sofia",2,50,Tuhla,2023.0,161,0,0,219000
Avorov,"1-en Apartament Avorov
Avorov, Sofia",0,38,Tuhla,1957.0,161,0,0,175000
Hadji Dimit_r,"Tristaen apartament v j.k. Hadji Dimit_r
Hadji Dimit_r, Sofia",3,80,Panel,1981.0,161,0,0,160000
Drujba 2,"Prodavam 3 staen Apartament v Sofia
 Drujba 2, Sofia",3,90,Panel,1988.0,161,0,0,154000
Manastirski Livadi,"PRODAVA 2-STAEN OBZAVEDEN APARTAMENT DO UJEN PARK
Manastirski Livadi, Sofia",2,61,Tuhla,2020.0,161,0,0,163000
Sofia,"Tristaen apartament v Razsadnika do Fantastiko
 Sofia",3,82,Tuhla,2025.0,162,0,0,134000
Vitosa,"Tristaen za prodajba, Vitosa
Vitosa, Sofia",3,112,Tuhla,2019.0,162,0,0,224000
Strelbise,"Tristaen apartament v j.k. Strelbise
Strelbise, Sofia",3,85,Tuhla,2023.0,162,1,0,208000
Krasna Polana,"Moderen jilisen proekt v kv. Krasna polana 2
 Krasna Polana, Sofia",2,55.07,Tuhla,2026.0,162,1,1,74345
Manastirski Livadi,"Tristaen apartament v malka sgrada, v kv. ”Manastirski livadi”
Manastirski Livadi, Sofia",3,105,Tuhla,2024.0,162,1,1,208440
Boana,"Dvustaen apartamen v kvartal Boana
Boana, Sofia",2,83,Tuhla,2024.0,162,1,1,208440
Boana,"2-staen apartament v kv. Boana
Boana, Sofia",2,75,Tuhla,2024.0,162,1,1,180040
Boana,"3-staen apartament v kv. Boana
Boana, Sofia",3,112,Tuhla,2024.0,163,0,0,256420
Gorna Bana,"Tristaen apartament 71 kv.m Tuhla 2023 g. 1 etaj P_rvi jilisen
Gorna Bana, Sofia",3,71,Tuhla,2023.0,163,1,1,145000
Gorna Bana,"Dvustaen apartament 67 kv.m Tuhla 2023 g. 5 etaj Posleden etaj
Gorna Bana, Sofia",2,67,Tuhla,2023.0,163,1,1,160000
Geo Milev,"Prodava tristaen apartament v gr. Sofia, kv. Geo Milev, 387 000 EUR
Geo Milev, Sofia",3,146,Tuhla,2023.0,163,1,1,387000
Malinova Dolina,"Dvustaen apartament v kv. Malinova dolina
Malinova Dolina, Sofia",2,62,Tuhla,2023.0,163,1,1,148000
Kr_stova Vada,"Tristaen apartament, Kr_stova vada
Kr_stova Vada, Sofia",3,101,Tuhla,2023.0,163,1,1,182000
Dianabad,"Prodava tristaen apartament v gr. Sofia, kv. Dianabad, 172 000 EUR
 Dianabad, Sofia",3,113,EPK/PK,1975.0,163,1,1,172000
Serdika,"Studio s balkon v nov zatvoren kompleks v kv. ”Serdika”
 Serdika, Sofia",0,38.03,Tuhla,2023.0,163,1,1,45000
Strelbise,"3-STAEN OBZAVEDEN APARTAMENT DO UJEN PARK
Strelbise, Sofia",3,98,Tuhla,1975.0,163,1,1,252000
Dianabad,"Prodava tristaen apartament v gr. Sofia, kv. Dianabad, 179 999 EUR
 Dianabad, Sofia",3,100,EPK/PK,1980.0,163,1,1,179999
Hadji Dimit_r,"Tristaen apartament 80 kv.m Panel 1980 g. 4 etaj Neposleden
Hadji Dimit_r, Sofia",3,80,Panel,1980.0,163,1,1,155000
Dianabad,"Prodavam 3-staen apartament v nova sgrada v kv. Dianabad
 Dianabad, Sofia",3,137,Tuhla,2023.0,163,1,1,270000
Vitosa,"Cetiristaen mezonet za prodajba, kv. Vitosa, do Simeonovsko sose, grad Sofia
 Vitosa, Sofia",4,150,Tuhla,2005.0,163,1,1,302000
Kr_stova Vada,"Tristaen apartament v nova butikova sgrada na bul. ”Cerni vr_h”
 Kr_stova Vada, Sofia",3,105.16,Tuhla,2023.0,163,1,1,223500
Manastirski Livadi,"Prodava 3-staen, gr. Sofia kv. Manastirski livadi, 114kv.m, 171000 evro
 Manastirski Livadi, Sofia",3,114,Tuhla,2024.0,163,1,1,171000
Manastirski Livadi,"Prodava 2-staen, gr. Sofia kv. Manastirski livadi, 66 kv.m, 99 000 evro
 Manastirski Livadi, Sofia",2,66,Tuhla,2024.0,163,1,1,99000
Mladost 4,"Prodava obzaveden tristaen gr. Sofia, j.k. Mladost 4, 230 000EUR
 Mladost 4, Sofia",3,107,Panel,1986.0,163,1,1,230000
Lulin 4,"Obzavedeno jilise v kv. Lulin 4
 Lulin 4, Sofia",2,48,Panel,1980.0,163,1,1,90000
Ovca Kupel 2,"Izgoden 3-staen v kompleks s park, alei, detski k_t i futbolno igrise
 Ovca Kupel 2, Sofia",3,92.01,Tuhla,2023.0,163,1,1,112000
D_rveniza,"Novi apartamenti v jilisen kompleks v kv. D_rveniza
 D_rveniza, Sofia",2,55.81,Tuhla,2025.0,163,1,1,75344
Banisora,"Jilisna sgrada s zentralna lokazia v Sofia
 Banisora, Sofia",0,44.97,Tuhla,2025.0,163,1,1,80946
Kr_stova Vada,"Park Home - novi apartamenti s_s 180 gradusovi gledki k_m Vitosa na metri ot Ujen park
 Kr_stova Vada, Sofia",2,92.72,Tuhla,2023.0,163,1,1,146900
Boana,"Dvustaen apartament s golama terasa ▪︎ Obitaema sgrada pred Akt 16
Boana, Sofia",2,110,Tuhla,2013.0,163,1,1,132000
Simeonovo,"2-staen, Sofia, Simeonovo, 83 kv.m., 145000 €
Simeonovo, Sofia",2,83,Tuhla,2023.0,163,1,1,145000
Simeonovo,"3-staen, Sofia, Simeonovo, 223 kv.m., 446000 €
Simeonovo, Sofia",3,223,Tuhla,2023.0,163,1,1,446000
Kr_stova Vada,"Prodava 3-staen, kv. Kr_stova voda
Kr_stova Vada, Sofia",3,147,Tuhla,2023.0,164,0,0,265000
Zent_r,"Mezonet v Zent_ra
Zent_r, Sofia",10,225,Tuhla,2024.0,164,0,0,439000
Oborise,"Mezonet v kv. Oborise
Oborise, Sofia",10,225,Tuhla,2024.0,164,0,0,439000
B_kston,"Dvustaen apartament 64 kv.m EPK/PK 1980 g. 1 etaj P_rvi jilisen
B_kston, Sofia",2,64,EPK/PK,1980.0,164,0,0,125000
Malinova Dolina,"Dvustaen apartament 63 kv.m Tuhla 2022 g. 2 etaj Neposleden
Malinova Dolina, Sofia",2,63,Tuhla,2022.0,164,0,0,121000
Izgrev,"Prodava 3-staen, kv. Izgrev
Izgrev, Sofia",3,84,Tuhla,2022.0,164,0,0,244500
Strelbise,"Tristaen za prodajba, Strelbise
Strelbise, Sofia",3,80,Panel,1969.0,164,0,0,179000
Borovo,"Prodava dvustaen apartament 61m2 v gr. Sofia, kv. Borovo, 127 000 EUR
 Borovo, Sofia",2,61,Panel,1975.0,164,0,0,127000
Kr_stova Vada,"Prodava 2-staen gr. Sofia kv. Kr_stova vada tuhla obzaveden, 169 000EUR
 Kr_stova Vada, Sofia",2,52,Tuhla,2013.0,164,0,0,148990
Zent_r,"Prodava dvustaen apartament v gr. Sofia, Zent_r, 125 000 EUR
 Zent_r, Sofia",2,55,Tuhla,2005.0,164,0,0,125000
Lulin Zent_r,"Jilisna sgrada na glavna p_tna arteria na metri ot metrostanzia „Lulin“
 Lulin Zent_r, Sofia",2,75.21,Tuhla,2024.0,164,0,0,103370
Malinova Dolina,"2-staen, Sofia, Malinova Dolina, 58 kv.m., 87000 €
Malinova Dolina, Sofia",2,58,Tuhla,2023.0,164,0,0,87000
Malinova Dolina,"2-staen, Sofia, Malinova Dolina, 61 kv.m., 120000 €
Malinova Dolina, Sofia",2,61,Tuhla,2023.0,164,0,0,120000
Nadejda 4,"Prodava se remontairan dvustaen apartament do metrostanzia Beli Dunav
Nadejda 4, Sofia",2,60,EPK/PK,1985.0,167,1,1,107000
Nadejda 1,"Prodava apartament do metrostanzia Nadejda
Nadejda 1, Sofia",2,63,Tuhla,2020.0,167,1,1,136000
Nadejda 1,"Prodava apartament v Nadejda do detska gradina
Nadejda 1, Sofia",2,70,Panel,1970.0,167,1,1,98900
Nadejda 2,"Prodava dvustaen apartament do metrostanzia Nadejda
Nadejda 2, Sofia",2,61,Tuhla,2021.0,167,1,1,109000
Nadejda 2,"Prodava mnogostaen apartament do metrostanzia Nadejda
Nadejda 2, Sofia",4,150,Tuhla,2023.0,167,1,1,230000
Gorublane,"Mnogostaen apartament v kv. Gorublane
Gorublane, Sofia",4,134,Tuhla,2023.0,167,1,1,265000
Zent_r,"Dvustaen apartament, Zent_r
Zent_r, Sofia",2,84,Tuhla,1964.0,167,1,1,172000
Lagera,"Dvustaen apartament, j.k. Lagera
Lagera, Sofia",2,95,Tuhla,2008.0,167,1,1,175000
Malinova Dolina,"Mezonet, kv. Malinova Dolina
Malinova Dolina, Sofia",10,200,Tuhla,2009.0,167,1,1,252000
Geo Milev,"Tristaen apartament, kv. Geo Milev
Geo Milev, Sofia",3,84,Tuhla,2007.0,167,1,1,229000
Zent_r,"Prodava ednostaen apartament v Zent_ra v neposredstvena blizost do metrostanzia Zentralna J. P. gara
Zent_r, Sofia",0,30,Tuhla,1967.0,167,1,1,85000
D_rveniza,"Bez komisiona! Dvustaen apartament D_rveniza
D_rveniza, Sofia",2,65,Tuhla,2024.0,167,1,1,94244
D_rveniza,"Bez komisiona! Ednostaen apartament D_rveniza
D_rveniza, Sofia",0,46,Tuhla,2024.0,167,1,1,84447
Studentski Grad,"Obzaveden Ednostaen Apartament v Studentski Grad s Akt 16!
Studentski Grad, Sofia",0,43,Tuhla,2019.0,167,1,1,81999
Manastirski Livadi,"Dnevna 31 m2! Spalna 13 m2! AKT 14!
Manastirski Livadi, Sofia",2,84,Tuhla,2023.0,167,1,1,134000
B_kston,"Tristaen apartament, j.k. ”B_kston”
B_kston, Sofia",3,100,Panel,1970.0,167,1,1,169000
Studentski Grad,"Ednostaen ap. za prodajba v kv. Studentski grad
Studentski Grad, Sofia",0,48,Tuhla,2019.0,167,1,1,96000
Studentski Grad,"Dvustaen ap. za prodajba v kv. Studentski grad
Studentski Grad, Sofia",2,61,Tuhla,2019.0,167,1,1,122000
Nadejda 2,"Mnogostaen apartament v j.k. Nadejda 2
Nadejda 2, Sofia",4,149,Tuhla,2022.0,168,0,0,235420
Geo Milev,"Prodava Mnogostaen
Geo Milev, Sofia",4,126,Tuhla,2012.0,168,0,0,287000
Mladost 1,"Panoramen tristaen!
 Mladost 1, Sofia",3,90,EPK/PK,1974.0,168,0,0,188888
Belite Brezi,"Sresu barter za po- mal_k apartament + doplasane
Belite Brezi, Sofia",4,100,EPK/PK,1990.0,168,0,0,192000
Knajevo,"Prodavam apartament
Knajevo, Sofia",3,100,Tuhla,2022.0,168,0,0,230000
Goze Delcev,"Dnevna 32 m2! Spalna 20 m2! Spalna 15 m2! Pred Akt 15!
Goze Delcev, Sofia",3,123,Tuhla,2023.0,168,0,0,249000
Zent_r,"Metrostanzia! Panorama! Dve sanitarni!
Zent_r, Sofia",3,93,Tuhla,1965.0,168,0,1,109900
Belite Brezi,"Dvustaen za prodajba, Belite Brezi
Belite Brezi, Sofia",2,78,Tuhla,2004.0,168,0,1,150000
Vitosa,"Pred AKT 15! Top zena! Dokazan investitor! Opzia Garaj!
Vitosa, Sofia",2,50,Tuhla,2023.0,168,0,1,74900
Lozenez,"Dnevna 44 m2! Spalna 27 m2! Spalna 14 m2! Spalna 13 m2!
Lozenez, Sofia",4,207,Tuhla,2024.0,168,0,1,340000
Drujba 2,"Dvustaen apartament v j.k. Drujba 2
Drujba 2, Sofia",2,72,Tuhla,2023.0,168,0,1,102000
Malinova Dolina,"Dvustaen apartament 58 kv.m Tuhla 2023 g. 2 etaj Neposleden
Malinova Dolina, Sofia",2,58,Tuhla,2023.0,168,0,1,85750
Lulin Zent_r,"Dvustaen za prodajba, Lulin - zent_r
Lulin Zent_r, Sofia",2,80,Tuhla,2024.0,168,0,1,113500
Lulin 7,"Era Mladost ima udovolstvieto da vi predstavi Ekskluziven imot v j.k. Lulin 7
 Lulin 7, Sofia",0,44,Panel,1985.0,168,0,1,75000
Zent_r,"Mnogostaen apartament- Zent_r, gr. Sofia
Zent_r, Sofia",4,167,Tuhla,1939.0,168,0,1,517700
Lozenez,"Prodava MNOGOSTAEN
Lozenez, Sofia",4,168,Tuhla,1998.0,168,0,1,535000
Zent_r,"Mnogostaen apartament 120 kv.m Tuhla 1970 g. 4 etaj
Zent_r, Sofia",4,120,Tuhla,1970.0,168,0,1,450000
Manastirski Livadi,"Dvustaen apartament s_s strahotna terasa v kv. Manatirski Livadi
Manastirski Livadi, Sofia",2,95,Tuhla,2023.0,168,0,1,152500
Zaharna Fabrika,"Prodavam 2-staen apartament
 Zaharna Fabrika, Sofia",2,55,EPK/PK,1969.0,169,0,0,98000
Lulin 4,"Prostoren apartament s dve spalni v sanirana sgrada v kv. Lulin 4
 Lulin 4, Sofia",3,88,EPK/PK,2000.0,169,0,0,133000
Hladilnika,"Tristaen apartament 125 kv.m Tuhla 2022 g. 2 etaj Neposleden
Hladilnika, Sofia",3,125,Tuhla,2022.0,169,0,0,230000
Manastirski Livadi,"Tristaen apartament, Manastirski livadi
Manastirski Livadi, Sofia",3,119,Tuhla,2021.0,169,0,0,292000
Manastirski Livadi,"Akt 16! Dnevna 43 m2! Spalna 18m2! Panorama!
Manastirski Livadi, Sofia",3,178,Tuhla,2019.0,169,0,0,268224
Vitosa,"Pred AKT 16! Ug-zapad! Sreden etaj!
Vitosa, Sofia",2,57,Tuhla,2023.0,169,0,0,89000
Vitosa,"Dnevna 23 m2! Spalna 15 m2! Pred Akt 15!
Vitosa, Sofia",2,67,Tuhla,2023.0,169,0,0,112900
Sofia,"Dvustaen apartament Tuhla
Sofia",2,56,Tuhla,1958.0,169,0,0,180000
Dianabad,"Dnevna 24 m2! Spalna 16 m2! Spalna 13 m2!
Dianabad, Sofia",3,111,Tuhla,2023.0,169,0,0,205000
Dianabad,"Dnevna 24 m2! Spalna 12 m2! Bez prehod!
Dianabad, Sofia",2,70,Tuhla,2023.0,169,0,0,129500
Razsadnika,"Golam tristaen apartament v kv. Razsadnika do Fantastiko
 Razsadnika, Sofia",3,112,Tuhla,2025.0,169,0,0,178000
Malinova Dolina,"Dvustaen, nova sgrada, 66m2, et.2, Zena 97000 evro, do Ring Mol
 Malinova Dolina, Sofia",2,65,Tuhla,2024.0,169,0,0,97000
Lulin 10,"Dvustaen, nova sgrada, Lulin 10 do pojarnata, et.3, 95830E
 Lulin 10, Sofia",2,68,Tuhla,2024.0,169,0,0,95830
Razsadnika,"IHOME Real Estate PRODAVA MNOGOSTAEN V RAZSADNIKA
Razsadnika, Sofia",4,200,Tuhla,2024.0,169,0,0,307000
Manastirski Livadi,"Dvustaen apartament v nova sgrada v kv. ”Manastirski livadi - zapad”
 Manastirski Livadi, Sofia",2,79.14,Tuhla,2023.0,169,0,0,142452
Vitosa,"Tristaen za prodajba, Vitosa
Vitosa, Sofia",3,110,Tuhla,2016.0,169,0,0,220000
Geo Milev,"Geo Milev tristaen obzaveden tuhla
Geo Milev, Sofia",3,132,Tuhla,1993.0,169,0,0,393000
Ovca Kupel,"Ovca kupel tristaen tuhla, s golam garaj
Ovca Kupel, Sofia",3,119,Tuhla,2019.0,169,0,0,207000
Zaharna Fabrika,"Zaharna fabrika dvustaen tuhla
Zaharna Fabrika, Sofia",2,40,Tuhla,1980.0,169,0,0,77000
Dragalevzi,"Nov mnogostaen apartament + parkomasto v kv. Dragalevzi s akt 16
Dragalevzi, Sofia",4,220,Tuhla,2020.0,169,0,0,374000
Zent_r,"Dvustaen apartament- Zent_r, gr. Sofia
 Zent_r, Sofia",2,89,Tuhla,1966.0,169,0,0,200000
Ovca Kupel,"Tristaen apartament kv. Ovca kupel
Ovca Kupel, Sofia",3,108,Tuhla,2024.0,169,0,0,152208
Ovca Kupel,"Cetiristaen apartament kv. Ovca kupel
Ovca Kupel, Sofia",4,131,Tuhla,2024.0,169,0,0,183806
Ovca Kupel,"Tristaen apartament kv. Ovca kupel
Ovca Kupel, Sofia",3,117,Tuhla,2024.0,169,0,0,164038
Zapaden Park,"Dvustaen apartament 59 kv.m Tuhla 1960 g. 1 etaj P_rvi jilisen
Zapaden Park, Sofia",2,59,Tuhla,1960.0,169,0,0,110000
Ivan Vazov,"Luksozen cetiristaen apartament v kv. Ivan Vazov do Ujen park
Ivan Vazov, Sofia",4,154,Tuhla,2002.0,169,0,0,462000
Lulin 4,"Tristaen apartament 88 kv.m Panel 1980 g. 1 etaj
Lulin 4, Sofia",3,88,Panel,1980.0,169,0,0,120000
Lulin 6,"Dvustaen apartament 60 kv.m Panel 1982 g. 8 etaj
Lulin 6, Sofia",2,60,Panel,1982.0,169,0,0,95000
Malinova Dolina,"Dvustaen apartament, Malinova dolina
Malinova Dolina, Sofia",2,75,Tuhla,2024.0,170,1,0,120000
Zent_r,"Prodajba na ednostaen apartament - gr. Sofia, Zent_r
 Zent_r, Sofia",0,89,Tuhla,2011.0,170,1,0,93000
Svoboda,"Dvustaen za prodajba, Svoboda
Svoboda, Sofia",2,65,Panel,1980.0,170,1,0,129000
Borovo,"Tristaen za prodajba, Borovo
Borovo, Sofia",3,78,Panel,1978.0,170,1,0,175000
Malinova Dolina,"Cetiristaen apartament v Malinova dolina s terasa 60 kv.m.
Malinova Dolina, Sofia",4,170,Tuhla,2023.0,170,1,0,212380
Lulin 9,"Dvustaen apartament v j.k. Lulin 9
Lulin 9, Sofia",2,52,Tuhla,2024.0,170,1,0,75000
Strelbise,"Mnogostaen apartament v j.k. Strelbise
Strelbise, Sofia",4,180,Tuhla,2008.0,170,1,0,339000
Zent_r,"Mnogostaen za prodajba, Zent_r
Zent_r, Sofia",4,120,Tuhla,1970.0,170,1,0,463500
Nadejda 3,"Ednostaen za prodajba, Nadejda 3
Nadejda 3, Sofia",0,42,Panel,1976.0,170,1,0,80000
Ilinden,"Tristaen za prodajba, Ilinden
Ilinden, Sofia",3,86,Panel,1982.0,170,1,0,185000
Ilinden,"Tristaen apartament 86 kv.m Panel 1982 g. 5 etaj Neposleden
Ilinden, Sofia",3,86,Panel,1982.0,170,1,0,185000
Studentski Grad,"Dvustaen za prodajba, Studentski grad
Studentski Grad, Sofia",2,61,Tuhla,2019.0,170,1,0,122000
Studentski Grad,"Dvustaen za prodajba, Studentski grad
Studentski Grad, Sofia",2,102,Tuhla,2019.0,170,1,0,183600
B_kston,"Jilisna sgrada s ogranicen broj apartamenti v kv. B_kston
 B_kston, Sofia",2,69,Tuhla,2024.0,170,1,0,121174
Lulin 6,"Dvustajni, tristajni i cetiristajni apartamenti v kv. Lulin 6
 Lulin 6, Sofia",2,57.87,Tuhla,2024.0,170,1,0,78126
Lulin 10,"Posleden aparatement v nova jilisna sgrada v kv. Lulin 10
 Lulin 10, Sofia",2,68.43,Tuhla,2024.0,170,1,0,102645
Krasna Polana,"Dvustaen apartament, kv. ”Krasna polana”
Krasna Polana, Sofia",2,67,Tuhla,1976.0,171,0,0,93000
Lozenez,"Dvustaen apartament, Lozenez
Lozenez, Sofia",2,77,Tuhla,2000.0,171,0,0,203000
Lozenez,"Dvustaen apartament Lozenez
Lozenez, Sofia",2,76,Tuhla,2000.0,171,0,1,205000
Banisora,"Prodava nov mnogostaen apartament do magazin Billa
Banisora, Sofia",4,131,Tuhla,2024.0,171,0,1,209600
Belite Brezi,"Nov luksozen tristaen, tuhlen, apartament s AKT 16
Belite Brezi, Sofia",3,128,Tuhla,2021.0,171,0,1,285000
Borovo,"Dvustaen apartament 60 kv.m Panel 1972 g. 4 etaj Neposleden
Borovo, Sofia",2,60,Panel,1972.0,171,0,1,130000
Zent_r,"Tristaen apartament- Zent_r, gr. Sofia
 Zent_r, Sofia",3,80,Tuhla,1965.0,171,0,1,205990
Ovca Kupel,"3-staen Ovca kupel, ul. Buket 9
 Ovca Kupel, Sofia",3,100,Tuhla,2020.0,171,0,1,155000
Manastirski Livadi,"Tristaen apartament, Manastirski livadi
Manastirski Livadi, Sofia",3,143,Tuhla,2022.0,171,0,1,270000
Boana,"Ujen DVUSTAEN apartament ▪︎ Obitaema sgrada pred Pred Akt 16
Boana, Sofia",2,110,Tuhla,2013.0,171,0,1,132000
Malinova Dolina,"Tristaen apartament v Malinova dolina!
Malinova Dolina, Sofia",3,81,Tuhla,2023.0,171,0,1,128500
Poligona,"Dvustaen apartament v kv. Poligona
 Poligona, Sofia",2,73.28,Tuhla,2007.0,171,0,1,149000
Lulin 5,"Novoobzaveden dvustaen apartament v kv. Lulin 5
 Lulin 5, Sofia",2,42.43,Panel,1980.0,171,0,1,64000
Gorna Bana,"Tristaen apartament
Gorna Bana, Sofia",3,175,Tuhla,2006.0,172,0,1,240000
Hipodruma,"3staen v Hipodruma
 Hipodruma, Sofia",3,108,Tuhla,1976.0,172,0,1,240000
Simeonovo,"Mnogostaen apartament v kv. Simeonovo
Simeonovo, Sofia",4,138,Tuhla,1996.0,172,0,1,323000
Vr_bniza 2,"Dvustaen apartament za prodajba v moderna nova sgrada
Vr_bniza 2, Sofia",2,66,Tuhla,2022.0,172,0,1,106000
Manastirski Livadi,"Golam TRIstaen apartament v nova moderna sgrada v top lokazia do ”Mol B_lgaria”, Manastirski livadi-..
Manastirski Livadi, Sofia",3,125,Tuhla,2022.0,172,0,1,281300
